joke_num,text,true_label,llm_classification,confidence,llm_personal_funny,funniness,offensiveness,originality,appropriateness,clarity,upvotes,downvotes,score
1,⏣ why don't we make this a flair? ⏣⏣⏣⏣,True,NO,2,NO,3,1,5,7,2,16.0,0.0,16.0
2,Baldassarre Cossa (c,False,NO,2,NO,3,1,5,7,2,,,
3,Ok everybody knows the dihydrogen monoxide prank so lets do this instead We must warn people about the dangers of hydrohydroxic acid,True,NO,2,NO,3,1,5,7,2,51.0,0.0,51.0
4,Lutetium is a chemical element with the symbol Lu and atomic number 71,False,NO,1,NO,2,1,3,10,8,,,
5,Did you hear about the physicist who got cooled to absolute zero? He’s 0K now,True,NO,1,NO,2,1,3,10,8,9.0,0.0,9.0
6,"Marie Salomea Skłodowska Curie ( , ; born Maria Salomea Skłodowska, ; 7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity",False,NO,1,NO,2,1,3,10,8,,,
7,"Events Pre-1600 618 – Li Yuan becomes Emperor Gaozu of Tang, initiating three centuries of Tang dynasty rule over China",False,NO,2,NO,2,1,3,8,7,,,
8,"Julian Jaynes (February 27, 1920 – November 21, 1997) was an American researcher in psychology at Yale and Princeton for nearly 25 years and best known for his 1976 book The Origin of Consciousness in the Breakdown of the Bicameral Mind",False,NO,2,NO,2,1,3,8,7,,,
9,"They should rename Non-polar covalent bonds to Grizzly covalent bonds!! THINK ABOUT IT, Non polar and polar? makes no sense, plus its so boring! Now polar and grizzly bonds? that's sure to be fun for students and get memorized easily, just wait till they heart about Panda bonds!",True,NO,2,NO,2,1,3,8,7,34.0,0.0,34.0
10,"Wake up! We need to get with the times. I am not comfortable labeling Z as cis when THEY obviously are happy being trans. Similarly, everything about E presents cis, but we won't stop referring to THEM as trans. I always thought this convention needed to be changed for us who like memory devices, anyway. I was never happy with ""Z for zame zide."" I mean, what genius thought Zeus-Man and Aunty-Jean were helpful? Aunty-Jean doesn't even start with an 'E!' Now is the time, people!",True,NO,5,NO,7,2,8,6,7,21.0,0.0,21.0
11,"Arabic numerals are the ten numerical digits: 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9",False,NO,5,NO,7,2,8,6,7,,,
12,"The Czech Republic is a Central European country, a member of the European Union, the Organisation for Economic Co-operation and Development (OSCE), the North Atlantic Treaty Organization (NATO), the United Nations (and all of its main specialized agencies and boards)",False,NO,5,NO,7,2,8,6,7,,,
13,1 is an odd perfect number where is my million dollars,True,NO,2,NO,4,1,5,6,3,117.0,0.0,117.0
14,"This article is about the demographic features of the population of the Cook Islands, including population density, ethnicity, education level, health of the populace, economic status, religious affiliations and other aspects of the population",False,NO,2,NO,4,1,5,6,3,,,
