joke_num,text,true_label,llm_classification,confidence,llm_personal_funny,funniness,offensiveness,originality,appropriateness,clarity,upvotes,downvotes,score
1,⏣ why don't we make this a flair? ⏣⏣⏣⏣,True,NO,3,NO,2,1,3,9,2,16.0,0.0,16.0
2,Baldassarre Cossa (c,False,NO,3,NO,1,1,1,10,1,,,
3,Ok everybody knows the dihydrogen monoxide prank so lets do this instead We must warn people about the dangers of hydrohydroxic acid,True,NO,3,NO,6,1,7,9,8,51.0,0.0,51.0
4,Lutetium is a chemical element with the symbol Lu and atomic number 71,False,NO,9,NO,1,1,1,10,10,,,
5,Did you hear about the physicist who got cooled to absolute zero? He’s 0K now,True,NO,9,NO,7,1,6,9,8,9.0,0.0,9.0
6,"Marie Salomea Skłodowska Curie ( , ; born Maria Salomea Skłodowska, ; 7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity",False,NO,9,NO,1,1,1,10,1,,,
7,"Events Pre-1600 618 – Li Yuan becomes Emperor Gaozu of Tang, initiating three centuries of Tang dynasty rule over China",False,NO,9,NO,1,1,1,10,1,,,
8,"Julian Jaynes (February 27, 1920 – November 21, 1997) was an American researcher in psychology at Yale and Princeton for nearly 25 years and best known for his 1976 book The Origin of Consciousness in the Breakdown of the Bicameral Mind",False,NO,9,NO,1,1,1,10,10,,,
9,"They should rename Non-polar covalent bonds to Grizzly covalent bonds!! THINK ABOUT IT, Non polar and polar? makes no sense, plus its so boring! Now polar and grizzly bonds? that's sure to be fun for students and get memorized easily, just wait till they heart about Panda bonds!",True,NO,9,NO,6,1,7,9,8,34.0,0.0,34.0
10,"Wake up! We need to get with the times. I am not comfortable labeling Z as cis when THEY obviously are happy being trans. Similarly, everything about E presents cis, but we won't stop referring to THEM as trans. I always thought this convention needed to be changed for us who like memory devices, anyway. I was never happy with ""Z for zame zide."" I mean, what genius thought Zeus-Man and Aunty-Jean were helpful? Aunty-Jean doesn't even start with an 'E!' Now is the time, people!",True,YES,8,NO,4,6,7,5,3,21.0,0.0,21.0
11,"Arabic numerals are the ten numerical digits: 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9",False,YES,8,NO,1,1,1,10,10,,,
12,"The Czech Republic is a Central European country, a member of the European Union, the Organisation for Economic Co-operation and Development (OSCE), the North Atlantic Treaty Organization (NATO), the United Nations (and all of its main specialized agencies and boards)",False,YES,8,NO,1,1,1,10,10,,,
13,1 is an odd perfect number where is my million dollars,True,YES,8,NO,3,1,5,8,4,117.0,0.0,117.0
14,"This article is about the demographic features of the population of the Cook Islands, including population density, ethnicity, education level, health of the populace, economic status, religious affiliations and other aspects of the population",False,YES,8,NO,1,1,1,10,10,,,
15,Elizabeth I (7 September 153324 March 1603) was Queen of England and Ireland from 17 November 1558 until her death in 1603,False,YES,8,NO,1,1,1,10,10,,,
16,The gigabyte () is a multiple of the unit byte for digital information,False,NO,8,NO,1,1,1,10,10,,,
17,"The Afghan Hound is a hound that is distinguished by its thick, fine, silky coat and its tail with a ring curl at the end",False,NO,8,NO,1,1,1,10,1,,,
18,"Just an odd true story I wish I could create memes. I can't, but this actually happened the other day. I was at a sales meeting for a company called Epsilon at a conference center. Delta airlines was also having a conference. Personally I thought putting them in the same wing of the conference center was a bit derivative.",True,NO,8,NO,6,1,7,9,8,23.0,0.0,23.0
19,"How does the ionic bond like its electron martini? Taken, not shared.",True,YES,9,YES,6,1,7,9,8,3.0,0.0,3.0
20,I refuse to obey the laws of physics AMA I may or may not respond due to the consequences of my decision,True,YES,9,YES,6,1,7,9,8,65.0,0.0,65.0
21,What does Alan Turing and an electric field in a paraller plate capacitor have in common? Each of them is homogenius.,True,YES,9,YES,4,1,7,8,5,156.0,0.0,156.0
22,What do you call a quantum rectal pill? A superpository.,True,YES,9,YES,7,3,8,6,9,157.0,0.0,157.0
23,"In Greek mythology, the Minotaur ( , ; ; in Latin as Minotaurus ) is a mythical creature portrayed during classical antiquity with the head and tail of a bull and the body of a man or, as described by Roman poet Ovid, a being ""part man and part bull""",False,YES,9,YES,2,1,3,9,8,,,
24,The Armed Forces of Azerbaijan () were re-established according to the Law of the Republic of Azerbaijan on the Armed Forces from 9 October 1991,False,YES,9,YES,1,1,1,10,10,,,
25,"2=3-1 An engineer, a biologist and a mathematician are outside of an empty house. They observe two people walking into the house, and a while later three people exit the house. The engineer say,s ""Our initial assumption must be wrong!"" The biologist replies, ""It's obvious that they reproduced."" The mathematician says, ""now if one more person enters the house, it will be empty!""",True,YES,9,YES,7,1,8,9,6,23.0,0.0,23.0
26,"Hot take, e^(ɩ̇π) + 1 = 0 is actually a pretty mid way to express Euler's Formula e^(ɩ̇θ) = cos(θ) + ɩ̇sin(θ). Like, I get that the identity itself is pretty cool and has a bunch of uses, but I feel like the wider connection between exponentiation, complex numbers, and trigonometry gets obscured when the identity is presented on its own without the context of Euler's Formula. Euler's identity is just a consequence of θ = π corresponding to (-1, 0) on the unit circle.",True,YES,9,YES,3,1,6,8,4,182.0,0.0,182.0
27,Is there a circlejerk for math? dont know what flair to put,True,YES,9,YES,4,3,6,7,5,144.0,0.0,144.0
28,Help for Two days in wien ? Any science-related attractions to see in Vienna?,True,YES,8,NO,2,1,3,9,4,4.0,0.0,4.0
29,This sub makes me happy,True,YES,8,NO,2,1,1,10,8,15.0,0.0,15.0
30,QUOD ERAT DEMONSTRATUM Commonly abbreviated as QED. How do you pronounce such a three letter string? (Not really a meme just wanted to see people’s opinions),True,YES,8,NO,3,1,4,9,5,28.0,0.0,28.0
31,Are you an electron? Because I'm positive there's an attraction between us.,True,YES,9,YES,6,1,5,9,8,33.0,0.0,33.0
32,French ( or ) is a Romance language of the Indo-European family,False,YES,9,YES,1,1,1,10,1,,,
33,"Me: I’ll just check my solution real quick. The solution: Let *x* = 1. Without loss of generality, let *x* = 2. By symmetry, let *x* = 3. Therefore, *x* = 4.",True,YES,9,YES,7,1,8,9,6,23.0,0.0,23.0
34,Induction in verse > You want to prove a theorem then > To prove it for every integer _n_ > You prove it first for _n_ equal one > And then the induction is begun > The proof goes on in the following way > You assume it next for _n_ equal _k_ > If you can show it then for _k+1_ > Then the induction is truly done. - L. Moser Given in a high school math textbook (S. Chand Class XI ISC),True,YES,8,YES,6,1,7,9,8,10.0,0.0,10.0
35,"The OpenGL Utility Toolkit (GLUT) is a library of utilities for OpenGL programs, which primarily perform system-level I/O with the host operating system",False,YES,8,YES,1,1,1,10,10,,,
36,What do you call an educated tube? A graduated cylinder,True,YES,8,YES,7,1,8,9,9,6.0,0.0,6.0
37,"The Krugerrand (; ) is a South African coin, first minted on 3 July 1967 to help market South African gold and produced by Rand Refinery and the South African Mint",False,NO,9,NO,1,1,1,10,10,,,
38,"In chemistry, concentration is the abundance of a constituent divided by the total volume of a mixture",False,NO,9,NO,1,1,1,10,10,,,
