joke_num,text,true_label,llm_classification,confidence,llm_personal_funny,funniness,offensiveness,originality,appropriateness,clarity,upvotes,downvotes,score
1,What’s the difference between a lentil and a chickpea? I wouldn’t pay £50 to have a lentil on my face.,True,YES,10,YES,8,1,7,9,9,7.0,0.0,7.0
2,Star Wars Q- What do you call a circumcised Wookie ? A- Jewbacca,True,YES,10,YES,6,8,4,2,8,6.0,0.0,6.0
3,"Diplomatic immunity is a form of legal immunity that ensures diplomats are given safe passage and are considered not susceptible to lawsuit or prosecution under the host country's laws, although they may still be expelled",False,YES,10,YES,1,1,1,10,10,,,
4,Events Pre-1600 474 – Zeno is crowned as co-emperor of the Byzantine Empire,False,NO,8,NO,1,1,1,10,10,,,
5,"Encyclopedia Brown is a series of books featuring the adventures of boy detective Leroy Brown, nicknamed ""Encyclopedia"" for his intelligence and range of knowledge",False,NO,8,NO,2,1,2,10,8,,,
6,"Carolyn Laurie Kane (born June 18, 1952) is an American actress and comedian",False,NO,8,NO,1,1,1,10,10,,,
7,What do you do when your dishwasher stops working? Punch her in the face.,True,YES,8,NO,2,8,2,1,6,5.0,0.0,5.0
8,"John Smith Hurt (March 8, 1893 – November 2, 1966), better known as Mississippi John Hurt, was an American country blues singer and guitarist",False,YES,8,NO,1,1,1,10,10,,,
9,who killed more Indians than the US cavalry? union carbide and jack daniels,True,YES,8,NO,6,8,7,2,8,2.0,0.0,2.0
10,APL (named after the book A Programming Language) is a programming language developed in the 1960s by Kenneth E,False,NO,10,NO,1,1,1,10,8,,,
11,"Iao Valley (Hawaiian: Ī-ao: ""cloud supreme"", pronounced similar to ""EE-ow"") is a lush, stream-cut valley in West Maui, Hawaii, located west of Wailuku",False,NO,10,NO,1,1,1,10,10,,,
12,"Good effort mate, but I'm not sure that's what Ariana Grande meant about feeling like a dangerous woman.",True,NO,10,NO,6,1,7,9,8,2.0,0.0,2.0
13,What do you get when a black person dies A failed experiment What do you get when I kill my self A celebration party,True,NO,1,NO,1,10,2,1,8,9.0,0.0,9.0
14,"Is it just me, or is Jaxon Strong the greatest photoshop hoax ever?",True,NO,1,NO,6,1,7,9,8,2.0,0.0,2.0
15,I always feel guilty about making jokes about pedophilia But not as guilty as I feel about fucking my kids corpses.,True,NO,1,NO,1,10,2,1,8,8.0,0.0,8.0
16,"Digital television (DTV) is the transmission of television signals using digital encoding, in contrast to the earlier analog television technology which used analog signals",False,NO,10,NO,1,1,1,10,10,,,
17,Çevik Bir (born 1939) is a retired Turkish army general,False,NO,10,NO,1,1,1,10,10,,,
18,"Continental Europe or mainland Europe is the contiguous continent of Europe, excluding its surrounding islands",False,NO,10,NO,1,1,1,10,10,,,
19,A cymbal is a common percussion instrument,False,NO,10,NO,1,1,1,10,10,,,
20,Kipchoge Hezekiah Keino (born 17 January 1940) is a retired Kenyan track and field athlete,False,NO,10,NO,1,1,1,10,10,,,
21,A chemist (from Greek chēm(ía) alchemy; replacing chymist from Medieval Latin alchemist) is a scientist trained in the study of chemistry,False,NO,10,NO,1,1,1,10,10,,,
22,"Barbara Kay Olson (née Bracher; December 27, 1955September 11, 2001) was an American lawyer and conservative television commentator who worked for CNN, Fox News Channel, and several other outlets",False,NO,10,NO,1,1,1,10,10,,,
23,"In mathematics, the factorial of a non-negative denoted is the product of all positive integers less than or equal The factorial also equals the product of with the next smaller factorial: For example, The value of 0! is 1, according to the convention for an empty product",False,NO,10,NO,1,1,1,10,8,,,
24,What do you call a quadriplegic in a swimming pool? Bob,True,NO,10,NO,2,8,6,2,8,10.0,0.0,10.0
25,What does Roy Walker think about sex with his daughter? It's good but it's not right. :D,True,NO,1,NO,2,9,1,1,8,9.0,0.0,9.0
26,"In linguistics, an affix is a morpheme that is attached to a word stem to form a new word or word form",False,NO,1,NO,1,1,1,10,8,,,
27,Read Me.exe Why were assault rifles designed the way they were? because they have 30 bullets in a clip one bullet for one child in a classroom,True,NO,1,NO,2,9,6,1,8,5.0,0.0,5.0
28,"Mariah Carey (; born March 27, 1969) is an American singer, songwriter, actress, and record producer",False,NO,10,NO,1,1,1,10,10,,,
29,"The Marshall Plan (officially the European Recovery Program, ERP) was an American initiative enacted in 1948 to provide foreign aid to Western Europe",False,NO,10,NO,1,1,1,10,10,,,
30,α-Ketoglutaric acid (2-oxoglutaric acid) is one of two ketone derivatives of glutaric acid,False,NO,10,NO,1,1,1,10,8,,,
31,"ANSI C, ISO C, and Standard C are successive standards for the C programming language published by the American National Standards Institute (ANSI) and the International Organization for Standardization (ISO)",False,NO,10,NO,1,1,1,10,8,,,
32,"A man was walking his dog through the graveyard when he saw another man crouching behind a gravestone. ""Morning!"" he said. The other man replies, ""No, just having a shit.""",True,NO,10,NO,8,6,7,4,9,6.0,0.0,6.0
33,"In mathematics, the Laplace transform, named after its inventor Pierre-Simon Laplace (), is an integral transform that converts a function of a real variable (often time) to a function of a complex variable (complex frequency)",False,NO,10,NO,1,1,1,10,8,,,
34,A cocktail is an alcoholic mixed drink,False,NO,10,NO,1,1,1,10,10,,,
35,"Nuclear physics is the field of physics that studies atomic nuclei and their constituents and interactions, in addition to the study of other forms of nuclear matter",False,NO,10,NO,1,1,1,10,10,,,
36,"Electronegativity, symbolized as χ, is the tendency for an atom of a given chemical element to attract shared electrons (or electron density) when forming a chemical bond",False,NO,10,NO,1,1,1,10,8,,,
37,What's 5 years old and snaps? Madeline McCann's hymen,True,NO,8,NO,2,10,1,1,8,11.0,0.0,11.0
38,What’s the difference between a dead hooker and an onion? I cry when I’m cutting up onions,True,NO,8,NO,6,8,4,2,8,25.0,0.0,25.0
39,"In mathematics, the greatest common divisor (GCD) of two or more integers, which are not all zero, is the largest positive integer that divides each of the integers",False,NO,8,NO,1,1,1,10,10,,,
40,"The English Greyhound, or simply the Greyhound, is a breed of dog, a sighthound which has been bred for coursing game and greyhound racing",False,NO,10,NO,1,1,1,10,10,,,
41,What's the hardest thing about cutting of 5 year old billy's fingers one by one? (X-post from r/MeanJokes) His cock whilst I do it.,True,NO,10,NO,2,10,1,1,8,7.0,0.0,7.0
42,What did the girl with no arms and no legs get for Christmas? Cancer,True,NO,10,NO,2,9,6,1,8,3.0,0.0,3.0
43,what's the difference between reclusive kids and a paedophile? One is kids in private the other likes their privates in kids,True,NO,10,NO,2,9,1,1,8,9.0,0.0,9.0
44,What do you call a Black woman that wears Braces/Retainers? A Black and Decker Pecker Wrecker !,True,NO,10,NO,2,8,4,2,6,2.0,0.0,2.0
45,The subject of homosexuality and Judaism dates back to the Torah,False,NO,10,NO,1,1,2,8,9,,,
46,"This girl told me that she wouldn't sleep with me if I was the last person on Earth. If I was the last person on Earth, she wouldn't have a choice in the matter.",True,YES,10,YES,8,6,7,4,9,5.0,0.0,5.0
47,"Assistive technology (AT) is a term for assistive, adaptive, and rehabilitative devices for people with disabilities and the elderly",False,YES,10,YES,1,1,1,10,10,,,
48,"In earth science, erosion is the action of surface processes (such as water flow or wind) that removes soil, rock, or dissolved material from one location on the Earth's crust, and then transports it to another location where it is deposited",False,YES,10,YES,1,1,1,10,10,,,
49,"Anubis or Inpu, Anpu in Ancient Egyptian (; , Egyptian: inpw, Coptic: Anoup) is the Greek name of the god of death, mummification, embalming, the afterlife, cemeteries, tombs, and the Underworld, in ancient Egyptian religion, usually depicted as a canine or a man with a canine head",False,NO,10,NO,1,1,1,10,8,,,
50,"According to the Book of Revelation in the New Testament of the Christian Bible, Armageddon (, from Harmagedōn, Late Latin: , from Hebrew: Har Məgīddō) is the prophesied location of a gathering of armies for a battle during the end times, which is variously interpreted as either a literal or a symbolic location",False,NO,10,NO,1,1,1,10,8,,,
51,Excommunication is an institutional act of religious censure used to end or at least regulate the communion of a member of a congregation with other members of the religious institution who are in normal communion with each other,False,NO,10,NO,1,1,1,8,9,,,
52,"Lucky kid gets to see BVS as dying wish. Lucky bastard 😁 A British fan whose dying wish was to see Batman V Superman: Dawn of Justice, got that chance last month, according to the #Batman4Bazz Facebook page. It had previously been reported that British Batman superfan Bazz Henderson-Gates had passed away before being granted a screening, but it appears as though his family simply weren't able to talk about the screening before now.",True,NO,8,YES,2,6,1,4,8,3.0,0.0,3.0
53,Bromine is a chemical element with the symbol Br and atomic number 35,False,NO,8,YES,1,1,1,10,10,,,
54,Sex has never been so good Since my husband died he’s always stiff…saving a fortune on viagra,True,NO,8,YES,8,6,7,4,9,6.0,0.0,6.0
55,"Not as good as the rest, call it mild MDMA on my KFC Call that the zinger pinger jaw swinger",True,YES,8,NO,6,2,8,6,4,6.0,0.0,6.0
56,The Miocene ( ) is the first geological epoch of the Neogene Period and extends from about (Ma),False,YES,8,NO,1,1,1,10,8,,,
